CD,STN,ITEMNO,REGISTRATIONDATE,PASSDATE,RELEASEDATE,TIME,CPC,CONSIGNEEPIN,CONSIGNEENAME,AGENTPIN,AGENTNAME,CONSIGNORNAME,IDFNUMBER,CON,COO,CFS,HSCODE,PRODUCTDESCRIPTION,BRAND,SIZE_AH,GRADE,ITEMGROSSWEIGHT,ITEMNETWEIGHT,QUANTITY,UNIT_WEIGHT,CUSTOMSVALUE,FOBVALUE,FOBINVOICEAMOUNT,DECLARED_PRICE,FOBCURRENCYCODE,UNIT,IMPORTDUTY,EXCISEDUTY,VAT,EXPORTDUTY,TAXCOMPUTED,TAXREMITTED,DUTYRATE,VATRATE,EXCISERATE,CURRENCY,EXCHANGERATE,MESSAGE,F147_NO,F147_DESCRIPTION,F147_AMOUNT, EXTRA_UNIT_PRICE ,ADJ_PRICE
2020ICD257522,ICD,17,15-Dec-20,15-Dec-20,15-Dec-20,0,C400,P051767235P    ,UNITY SHIPPING AND FREIGHT COMPANY LIMIT,P051335340W    ,JOPUKA LOGISTIC LIMITED,HENG TAI CHANG TRADING LIMITED,0EMKIM000120250,CN ,CN ,ICD ,85071000.00,MOTORCYCLE 12V7N BATTERY,UNKNOWN,,MOTORCYCLE,420.00,400.00,200.00,2.00,45895.72,400.00,44632.48,223.16,USD,u ,11474.00,0.00,19988.00,0.00,48542.00,0.00,25.00,14.00,0.00,USD,108.89,NA,NA,NA,NA,,
2020ICD257370,ICD,4,14-Dec-20,15-Dec-20,17-Dec-20,3,C400,P000595101M    ,CMC MOTORS GROUP LIMITED,P051135829Z    ,DAMCO LOGISTICS KENYA LIMITED,FORD INTERNATIONAL SERVICES,0EMKIM000124068,AE ,ZA ,ICD ,85071000.00,FORD AUTOMOTIVE SPARE PARTS:-BATTERY,UNKNOWN,,MV,736.00,736.00,27.00,27.26,611998.53,5178.33,577804.28,21400.16,USD,u ,153000.00,0.00,220855.00,0.00,536362.00,0.00,25.00,14.00,0.00,USD,111.58,NA,NA,NA,NA,,
2020ICD256369,ICD,2,09-Dec-20,09-Dec-20,10-Dec-20,1,C400,P051359600B    ,NEW TITANIC JACARANDA GENERAL SPARES LIM,P051159788V    ,VASTERGUARD TRADING COMPANY LIMITED,"YOG AUTO MOBILE PARTS CO.,LIMITED",0EMKIM000127334,CN ,CN ,ICD ,85071000.00,"RHINOPART MOTORCYCLE BATTERY 12N5, 12N3L-BS/ACE CB125/12N3A, 12N7A-BS, 12N2.5 ",UNKNOWN,,MOTORCYCLE,5327.00,5327.00,5000.00,1.07,689555.05,5250.00,577944.68,115.59,USD,u ,172389.00,0.00,41993.00,0.00,101983.00,0.00,25.00,14.00,0.00,USD,111.58,NA,NA,NA,NA,,
2020ICD259467,ICD,3,23-Dec-20,23-Dec-20,24-Dec-20,1,C400,P051588880C    ,NGUVU RIDING CENTER LIMITED,P051335340W    ,JOPUKA LOGISTIC LIMITED,GUANGZHOU ESOO MOTORCYCLE ACCESSORIES,0EMKIM000134311,CN ,CN ,ICD ,85071000.00,MOTORCYCLE 12N9-BS BATTERY,UNKNOWN,,MOTORCYCLE,1650.00,1600.00,600.00,2.67,146685.64,1200.00,134006.16,223.34,USD,u ,36671.00,0.00,12255.00,0.00,29762.00,0.00,25.00,14.00,0.00,USD,108.89,NA,NA,NA,NA,,
2020ICD257736,ICD,35,16-Dec-20,17-Dec-20,23-Dec-20,7,C400,P051958501N    ,MOTOTIVE LIMITED,P051232338S    ,MULTIPLE SOLUTIONS LIMITED,SABA AUTO SPARE PARTS TRADING,0EMKIM000174578,AE ,AE ,ICD ,85071000.00,AUTO SPARE PARTS -SEBANG SMF N 170L BATTERY,UNKNOWN,,UNKNOWN,1500.00,1500.00,150.00,10.00,2006914.18,17589.04,1962606.19,13084.04,USD,u ,501729.00,0.00,8795.00,0.00,21359.00,0.00,25.00,14.00,0.00,USD,108.89,NA,NA,NA,NA,,
2020ICD257736,ICD,36,16-Dec-20,17-Dec-20,23-Dec-20,7,C400,P051958501N    ,MOTOTIVE LIMITED,P051232338S    ,MULTIPLE SOLUTIONS LIMITED,SABA AUTO SPARE PARTS TRADING,0EMKIM000174578,AE ,AE ,ICD ,85071000.00,AUTO SPARE PARTS -EUROPART N120/170 BATTERY,UNKNOWN,,UNKNOWN,1500.00,1500.00,150.00,10.00,1837766.46,16106.59,1797192.64,11981.28,USD,u ,459442.00,0.00,25670.00,0.00,62341.00,0.00,25.00,14.00,0.00,USD,111.67,NA,NA,NA,NA,,
2020ICD260201,ICD,1,28-Dec-20,28-Dec-20,29-Dec-20,1,C400,P051406018T    ,SIMON PURE K LIMITED,P051234813P    ,SONGHONG FREIGHT SERVICES LIMITED,YOG AUTO MOBILE PARTS CO LTD ,0EMKIM000177788,CN ,CN ,ICD ,85071000.00,MOTORCYCLE SPARE PARTS - BATTERY MF,UNKNOWN,,MOTORCYCLE,7068.00,6745.00,3904.00,1.73,1087236.55,9760.00,1062748.83,272.22,USD,u ,271809.00,0.00,32081.00,0.00,77911.00,0.00,25.00,14.00,0.00,USD,108.89,NA,NA,NA,NA,,
2020ICD255263,ICD,1,04-Dec-20,07-Dec-20,17-Dec-20,13,C400,P051579714N    ,ANYTIME LIMITED,P051378490T    ,INDUS LOGISTICS LIMITED,SUNSHINE ENTERPRISES,0MBAIM000434836,IN ,IN ,ICD ,10064000.00,6X20 CONTAINING LONG GRAIN INDIAN WHITE RICE KENYA KING BRAND GRADE 2 MEDU1956924 MEDU5758085 TEMU0057737,KENYA KING,NA,2,159700.00,159000.00,159000.00,1.00,7254185.18,51834.00,5706130.34,35.89,USD,kg,3500687.00,0.00,0.00,0.00,3500687.00,0.00,35.00,0.00,0.00,USD,110.08,NA,NA,NA,NA,,
2020ICD257394,ICD,30,14-Dec-20,18-Dec-20,18-Dec-20,4,C400,P051654805E    ,PIKI TRADING COMPANY LIMITED,P051378490T    ,INDUS LOGISTICS LIMITED,"HONGKONG JIABEN TRADE CO.,LIMITED.",0MBAIM000435905,CN ,CN ,ICD ,85071000.00,4X40 CONTAINING:-PRO HERO BRAND MOTORCYCLE ACCESSORIES -BATTERY      MRKU6302737.   ,PRO HERO,,MOTORCYCLE,8345.00,8345.00,5000.00,1.67,1262026.98,10000.00,1115812.00,223.16,USD,u ,315507.00,0.00,16790.00,0.00,40775.00,0.00,25.00,14.00,0.00,USD,108.89,NA,NA,NA,NA,,
2020MSA7706538,MSA,3,21-Dec-20,21-Dec-20,28-Dec-20,7,C400,P051397008D    ,ALBA AUTOPARTS LIMITED,P051153426Z    ,WESTON LOGISTICS LIMITED,MUTLU AKU VE MALZEMELERI SANAYII AS,0MBAIM000446270,TR ,TR ,BFT ,85071000.00,36 PCS MUTLU BRAND AUTOMOTIVE STARTER BATTERIES 12V 100AH L5.100.083.A,MUTLU,,MV,869.00,869.00,36.00,24.14,220518.85,1920.24,214262.68,5951.74,USD,u ,55130.00,0.00,262062.00,0.00,636436.00,0.00,25.00,14.00,0.00,USD,111.58,NA,NA,NA,NA,,
2020MSA7706538,MSA,7,21-Dec-20,21-Dec-20,28-Dec-20,7,C400,P051397008D    ,ALBA AUTOPARTS LIMITED,P051153426Z    ,WESTON LOGISTICS LIMITED,MUTLU AKU VE MALZEMELERI SANAYII AS,0MBAIM000446270,TR ,TR ,BFT ,85071000.00,120 PCS MUTLU BRAND AUTOMOTIVE STARTER BATTERIES 12V 180AH D5.180.120.B,MUTLU,,MV,5715.00,5715.00,120.00,47.63,1497497.07,13043.70,1455431.70,12128.60,USD,u ,374374.00,0.00,143552.00,0.00,348626.00,0.00,25.00,14.00,0.00,USD,111.58,NA,NA,NA,NA,,
2020MSA7706538,MSA,9,21-Dec-20,21-Dec-20,28-Dec-20,7,C400,P051397008D    ,ALBA AUTOPARTS LIMITED,P051153426Z    ,WESTON LOGISTICS LIMITED,MUTLU AKU VE MALZEMELERI SANAYII AS,0MBAIM000446270,TR ,TR ,BFT ,85071000.00,54 PCS MUTLU BRAND AUTOMOTIVE STARTER BATTERIES 12V 225AH 1D6.225.140.B,MUTLU,,MV,3294.00,3294.00,54.00,61.00,820296.33,7143.00,797024.51,14759.71,USD,u ,205074.00,0.00,60352.00,0.00,146569.00,0.00,25.00,14.00,0.00,USD,111.67,NA,NA,NA,NA,,
2020MSA7706538,MSA,5,21-Dec-20,21-Dec-20,28-Dec-20,7,C400,P051397008D    ,ALBA AUTOPARTS LIMITED,P051153426Z    ,WESTON LOGISTICS LIMITED,MUTLU AKU VE MALZEMELERI SANAYII AS,0MBAIM000446270,TR ,TR ,BFT ,85071000.00,120 PCS MUTLU BRAND AUTOMOTIVE STARTER BATTERIES 12V 150AH 1D5.150.100.B,MUTLU,,MV,4995.00,4995.00,120.00,41.63,1324187.90,11530.80,1286620.50,10721.84,USD,u ,331047.00,0.00,85957.00,0.00,208753.00,0.00,25.00,14.00,0.00,USD,111.58,NA,NA,NA,NA,,
2020MSA7706538,MSA,8,21-Dec-20,21-Dec-20,28-Dec-20,7,C400,P051397008D    ,ALBA AUTOPARTS LIMITED,P051153426Z    ,WESTON LOGISTICS LIMITED,MUTLU AKU VE MALZEMELERI SANAYII AS,0MBAIM000446270,TR ,TR ,BFT ,85071000.00,36 PCS MUTLU BRAND AUTOMOTIVE STARTER BATTERIES 12V 200AH 1D6.200.125.B,PARBOILED RICE,,MV,2052.00,2052.00,36.00,57.00,491185.70,4277.16,477250.65,13256.96,USD,u ,122796.00,0.00,61396.00,0.00,149105.00,0.00,25.00,14.00,0.00,USD,111.67,NA,NA,NA,NA,,
2020MSA7706538,MSA,2,21-Dec-20,21-Dec-20,28-Dec-20,7,C400,P051397008D    ,ALBA AUTOPARTS LIMITED,P051153426Z    ,WESTON LOGISTICS LIMITED,MUTLU AKU VE MALZEMELERI SANAYII AS,0MBAIM000446270,TR ,TR ,BFT ,85071000.00,54 PCS MUTLU BRAND AUTOMOTIVE STARTER BATTERIES 12V 70AH D26.70.063.A,MUTLU,,MV,993.00,993.00,54.00,18.39,249354.90,2171.34,242280.72,4486.68,USD,u ,62339.00,0.00,95753.00,0.00,232544.00,0.00,25.00,14.00,0.00,USD,111.58,NA,NA,NA,NA,,
2020MSA7706538,MSA,4,21-Dec-20,21-Dec-20,28-Dec-20,7,C400,P051397008D    ,ALBA AUTOPARTS LIMITED,P051153426Z    ,WESTON LOGISTICS LIMITED,MUTLU AKU VE MALZEMELERI SANAYII AS,0MBAIM000446270,TR ,TR ,BFT ,85071000.00,60 PCS MUTLU BRAND AUTOMOTIVE STARTER BATTERIES 12V 120AH 1D4.120.080.A,MUTLU,,MV,2064.00,2064.00,60.00,34.40,547162.81,4764.60,531639.79,8860.66,USD,u ,136791.00,0.00,197734.00,0.00,480211.00,0.00,25.00,14.00,0.00,USD,111.58,NA,NA,NA,NA,,
2020MSA7706538,MSA,6,21-Dec-20,21-Dec-20,28-Dec-20,7,C400,P051397008D    ,ALBA AUTOPARTS LIMITED,P051153426Z    ,WESTON LOGISTICS LIMITED,MUTLU AKU VE MALZEMELERI SANAYII AS,0MBAIM000446270,TR ,TR ,BFT ,85071000.00,96 PCS MUTLU BRAND AUTOMOTIVE STARTER BATTERIES 12V 165AH 1D5.165.110.B,MUTLU,,MV,4255.00,4255.00,96.00,44.32,1129907.52,9839.04,1097851.89,11435.96,USD,u ,282477.00,0.00,475535.00,0.00,1154871.00,0.00,25.00,14.00,0.00,KES,1.00,NA,NA,NA,NA,,
2020MSA7706538,MSA,1,21-Dec-20,21-Dec-20,28-Dec-20,7,C400,P051397008D    ,ALBA AUTOPARTS LIMITED,P051153426Z    ,WESTON LOGISTICS LIMITED,MUTLU AKU VE MALZEMELERI SANAYII AS,0MBAIM000446270,TR ,TR ,BFT ,85071000.00,1X20 CONT 84 PCS MAXIBAT BRAND AUTOMOTIVE STARTER BATTERIES 12V 45AH FB24.45.030.E,MAXIBAT,,MV,1018.00,1018.00,84.00,12.12,275810.23,2402.40,268062.67,3191.22,USD,u ,68953.00,0.00,127158.00,0.00,308812.00,0.00,25.00,14.00,0.00,USD,111.67,NA,NA,NA,NA,,
2020MSA7702101,MSA,4,14-Dec-20,14-Dec-20,14-Dec-20,0,C400,P051955859E    ,DRIGOP TRADERS,P051311817K    ,HANGOOL INVESTMENT GROUP LIMITED,UNITED GLORY HOLDINGS LIMITED,0MBAIM000482437,CN ,CN ,FOC ,85071000.00,CAR BATTERIES,UNKNOWN,,MV,1500.00,1500.00,150.00,10.00,295902.68,2600.00,289020.68,1926.80,USD,u ,73976.00,0.00,89631.00,0.00,217675.00,0.00,25.00,14.00,0.00,USD,111.58,NA,NA,NA,NA,,
2020MSA7702747,MSA,11,15-Dec-20,15-Dec-20,15-Dec-20,0,C400,P051896549B    ,VIRISHA TRADERS,P051311817K    ,HANGOOL INVESTMENT GROUP LIMITED,GUANGZHOU JINGLING TRADE CO.LTD,0MBAIM000491887,CN ,CN ,FOC ,85071000.00,CAR BATTERY,UNKNOWN,,MV,1760.00,1760.00,825.00,2.13,739811.15,6500.00,725277.80,879.12,USD,u ,184953.00,0.00,284694.00,0.00,793076.00,508382.00,25.00,14.00,0.00,USD,111.58,NA,NA,NA,NA,,
2020MSA7702928,MSA,5,15-Dec-20,15-Dec-20,16-Dec-20,1,C400,P051760908D    ,BIZBAN LIMITED,P051437832H    ,SUNRISE INVESTMENT GROUP LIMITED,HENGTAI CHANG TRADING LIMITED,0MBAIM000503560,CN ,CN ,BFT ,85071000.00,BATTERY,UNKNOWN,,UNKNOWN,3720.00,3720.00,1200.00,3.10,216337.48,1810.00,201202.86,167.67,USD,u ,54084.00,0.00,63874.00,0.00,177934.00,114060.00,25.00,14.00,0.00,USD,111.58,NA,NA,NA,NA,,
2020MSA7707730,MSA,1,22-Dec-20,28-Dec-20,28-Dec-20,6,C400,P051194888Z    ,BUROOJ AUTO SPARES LIMITED,P051505692Q    ,WICKHAM BROS CO LIMITED,JINHUA JUJIANG TRADE CO LTD,0MBAIM000523383,CN ,CN ,AUT ,85071000.00,1X20FT STC AUTOMOTIVE VISCA POWER CAR BATTERY,VISCA,,MV,22123.00,21736.00,945.00,23.00,4270430.41,36060.00,4026885.11,4261.25,USD,u ,1067608.00,0.00,41412.00,0.00,100571.00,0.00,25.00,14.00,0.00,USD,111.67,NA,NA,NA,NA,,
2020MSA7707730,MSA,2,22-Dec-20,28-Dec-20,28-Dec-20,6,C400,P051194888Z    ,BUROOJ AUTO SPARES LIMITED,P051505692Q    ,WICKHAM BROS CO LIMITED,JINHUA JUJIANG TRADE CO LTD,0MBAIM000523383,CN ,CN ,AUT ,85071000.00,AUTOMOTIVE GOLD STAR CAR BATTERY,GOLD STAR,,MV,2220.00,2175.00,150.00,14.50,350836.13,2962.50,330827.71,2205.52,USD,u ,87709.00,0.00,66718.00,0.00,162030.00,0.00,25.00,14.00,0.00,USD,111.67,NA,NA,NA,NA,,
2020MSA7704396,MSA,1,17-Dec-20,17-Dec-20,17-Dec-20,0,C400,P051818207K    ,HANAN COMMODITIES LIMITED,P051437914D    ,AIR MENZIES INTERNATIONAL,R B INTERNATIONAL,0MBAIM000538996,PK ,PK ,BFT ,10063000.00,10X20 STC PAKISTAN LONG GRAIN WHITE RICE GRADE 1 HANA BRAND.,HANAN,NA,1,250800.00,250000.00,250000.00,1.00,10605774.05,90000.00,10042308.00,40.17,USD,kg,5579050.00,0.00,0.00,0.00,5579050.00,0.00,35.00,0.00,0.00,USD,111.58,NA,NA,NA,NA,,
